C_CI	HH_0	H_CI	H_EN	H_EWG	H_HH	H_IWG	H_PH	H_PTC	H_ci	H_en	H_hh	H_ptc	H_wg	PTC_0	alpha_CIwg	alpha_WGwg	kappa_Bci	kappa_CIptc	kappa_CIwg	kappa_CNen	kappa_CNhh	kappa_CNptc	kappa_CNwg	kappa_ENci	kappa_ENhh	kappa_PTCCI	kappa_PTCHH	kappa_WGen	kappa_WGwg	nu_Bci	nu_CIptc	nu_CIwg	nu_CNen	nu_CNhh	nu_CNptc	nu_CNwg	nu_ENci	nu_ENhh	nu_PTCCI	nu_WGen	nu_WGwg	r_EndoWG	r_ExoWG	r_LMxferHH	r_LMxferPTC	r_LMxferWG	r_MxferWG	class
0.348305	786.32	86.1335	36.0703	37.2843	26.7907	90.2117	78.4229	58.2847	41.8212	99.7435	29.3184	14.1231	71.4744	11.304	3.19854	1.9303	0.0030014	0.0252746	0.00126565	0.0621381	0.00789047	0.700368	0.345435	0.0389852	0.0763639	0.159733	0.506238	0.15069	0.841494	9.64736	8.31214	2.38426	4.41215	1.90501	2.71915	2.69079	5.17192	3.10535	1.1043	9.94246	3.42031	0.0599101	0.0384065	0.46319	0.109685	0.0574815	0.710975	1
0.00149574	656.784	94.9406	7.43246	87.2648	78.4678	99.8743	36.7992	71.0781	37.8388	79.8837	78.6398	41.8053	14.7779	37.369	1.91992	2.61962	0.260973	0.0735616	0.00180506	0.0193772	0.0079062	0.893158	0.15961	0.0218733	0.985297	0.214998	0.0606879	0.177161	0.00522777	1.37453	9.29925	4.05341	9.62123	5.92781	3.64999	2.37943	1.84654	3.41477	3.42774	7.37922	9.92023	0.161742	0.00355231	0.00376624	0.0175511	0.00167144	0.00282697	1
0.616692	10.6067	78.4968	70.9395	28.3582	61.4993	80.1339	87.7851	25.1592	37.0718	59.475	21.0852	49.2592	20.1427	34.1481	3.95218	3.56835	0.0139395	0.00617607	0.00310485	0.0266345	0.412232	0.655899	0.238078	0.0398093	0.00736087	0.0236456	0.025425	0.132214	0.0134344	2.92217	7.58925	8.2981	7.67865	4.83807	8.46398	7.65887	6.64026	9.36492	3.61755	1.51387	2.70053	0.156176	0.100986	0.636207	0.564464	0.65647	0.00140063	1
0.0110927	148.904	80.1124	84.1639	70.3593	83.2947	26.2929	99.1234	82.6193	70.9126	6.72245	61.6496	88.7456	53.5258	37.6807	4.60639	8.00769	0.0481339	0.00254426	0.00401965	0.00980547	0.96482	0.00642148	0.627137	0.0392768	0.00115376	0.434132	0.0193954	0.0700067	0.00989203	2.27716	1.73505	5.17682	7.18625	9.87646	1.50841	8.89856	8.89581	1.63391	1.49094	7.89589	6.89151	0.509284	0.3586	0.00603853	0.0812332	0.091086	0.0362662	1
0.0120703	14.938	40.052	76.4438	62.8674	70.7321	99.5465	41.2089	37.4382	5.24085	40.3465	5.68906	84.4089	54.5887	33.9849	1.14157	3.32318	0.00136271	0.524455	0.00127374	0.0175298	0.00453673	0.0652869	0.00279111	0.0371269	0.0120381	0.544818	0.0712962	0.319466	0.0401352	8.09535	3.45796	8.83429	9.14247	5.08808	1.21551	7.40173	3.69101	2.98762	3.82391	1.17062	3.20054	0.00766121	0.00340059	0.0163694	0.0162779	0.00281073	0.540353	1
0.375356	182.327	98.234	79.9791	90.7021	27.4586	5.99581	76.0316	47.2622	23.364	68.1482	99.3705	17.4536	67.4467	564.791	1.61693	2.29209	0.190433	0.012497	0.574987	0.00321042	0.745163	0.448952	0.624576	0.00203445	0.702819	0.0407861	0.0766483	0.0266167	0.354626	9.75577	2.64824	1.67798	5.37878	8.73346	6.14335	9.23426	9.6083	5.60363	1.53624	7.04523	5.55384	0.0213286	0.159341	0.00113598	0.0291766	0.983411	0.114324	1
0.255113	1.73837	8.55805	92.7539	5.52974	17.2599	54.5766	93.2194	71.052	92.4067	6.69669	36.4324	97.7295	5.29286	1.47045	1.06461	6.55471	0.0121982	0.600346	0.928403	0.0512269	0.0210498	0.134862	0.917101	0.00474131	0.208548	0.00485231	0.0120089	0.519935	0.00303169	7.49064	6.57129	1.84041	1.71325	4.42979	1.88739	9.30688	3.45014	9.79256	2.46441	5.14892	9.62979	0.00635929	0.0425037	0.428146	0.0360899	0.213569	0.00102658	1
0.0292585	4.2023	11.9748	91.164	69.5733	10.6922	43.6952	97.6074	28.1547	73.345	75.3924	22.8882	42.3682	81.2295	37.5734	5.15668	3.63499	0.828228	0.354126	0.0021949	0.00513975	0.195755	0.311158	0.00997881	0.0464808	0.00285187	0.0026046	0.0408652	0.275904	0.0121919	3.88342	9.13447	7.71468	3.04353	7.48548	9.88603	3.4713	8.10117	9.54197	2.94583	2.61203	7.276	0.00642731	0.00153156	0.00971494	0.115554	0.00125746	0.183386	1
0.00352781	291.607	59.5251	54.4266	40.6074	65.535	80.6075	25.6247	11.2816	58.8451	17.8578	90.1158	59.0883	55.0982	2.88793	4.70571	4.34895	0.157959	0.00312114	0.00125964	0.0600541	0.593257	0.480879	0.0551287	0.134851	0.00782021	0.0591908	0.00295021	0.00207251	0.0178643	1.27795	9.11735	1.16053	9.1321	5.75858	7.59513	7.92785	5.42795	3.47648	7.3003	9.19405	9.52304	0.00828565	0.0199352	0.236175	0.0414231	0.10268	0.00278173	1
0.00281981	200.029	98.973	22.1908	26.6141	28.6703	73.28	89.2333	18.8815	15.03	79.0002	30.7691	92.3865	31.4904	1.40676	1.62483	7.71055	0.08993	0.0063782	0.00119921	0.00676116	0.662242	0.112835	0.00807636	0.00316348	0.154685	0.00977662	0.00110756	0.869874	0.0489891	8.32979	5.02808	6.17857	6.7476	9.11489	4.01499	7.01267	4.0018	6.3367	6.37773	2.7179	7.4367	0.324504	0.0415315	0.0105275	0.00261607	0.00130747	0.00859819	1
