"Score"	"CPUt"	"H_en"	"H_EN"	"H_wg"	"H_IWG"	"H_EWG"	"H_ptc"	"H_PTC"	"H_ci"	"H_CI"	"H_hh"	"H_HH"	"H_PH"	"kappa_WGen"	"kappa_CNen"	"kappa_CNwg"	"kappa_CIwg"	"kappa_WGwg"	"kappa_CNptc"	"kappa_CIptc"	"kappa_Bci"	"kappa_ENci"	"kappa_ENhh"	"kappa_CNhh"	"kappa_PTCCI"	"kappa_PTCHH"	"nu_CNen"	"nu_CNwg"	"nu_CIwg"	"nu_WGwg"	"nu_WGen"	"nu_CNptc"	"nu_CIptc"	"nu_Bci"	"nu_ENci"	"nu_ENhh"	"nu_CNhh"	"nu_PTCCI"	"alpha_CIwg"	"alpha_WGwg"	"r_ExoWG"	"r_EndoWG"	"r_MxferWG"	"r_LMxferWG"	"r_LMxferPTC"	"r_LMxferHH"	"C_CI"	"PTC_0"	"HH_0"
0.025903	145.555	68.5708	87.5725	32.8026	7.35796	17.4885	52.9956	33.4586	5.54848	97.555	14.2635	73.6934	10.5349	0.201927	0.00506149	0.00258713	0.0695121	0.390851	0.738484	0.0714815	0.0129196	0.0103887	0.0536464	0.0322125	0.00617304	0.020066	9.335	6.51724	3.68347	7.95646	5.09561	9.05125	9.09093	8.33512	4.19674	8.34571	9.14664	6.45916	7.09087	9.69933	0.0278748	0.0020605	0.0466291	0.0451106	0.00115093	0.354664	0.398556	451.607	939.378
0.0259708	150.593	24.725	9.61726	31.1882	25.7242	20.9921	88.368	5.33635	55.1935	83.4337	35.1171	72.2586	65.2363	0.143292	0.0195431	0.00834758	0.0190863	0.458323	0.0568857	0.149957	0.158506	0.71285	0.00752772	0.00374757	0.0305024	0.724076	2.68233	6.24349	6.32064	7.69204	8.48546	1.1832	4.96819	4.36061	8.52772	1.19902	5.19594	5.73339	1.16971	9.60895	0.0117988	0.187479	0.00659032	0.00156479	0.00146228	0.00785149	0.03316	7.50145	6.02504
0.0260092	170.278	55.9447	66.5316	58.8687	98.5567	69.5553	54.5684	59.662	30.5638	22.1763	20.7533	56.2411	43.1159	0.00319344	0.00715562	0.00250175	0.137915	0.0577772	0.371614	0.0119146	0.00463062	0.0395931	0.241538	0.00537249	0.0317699	0.00327591	4.76313	2.78092	2.1419	9.70833	8.85888	2.39692	5.07698	8.74028	3.75369	7.24563	3.96477	7.2576	3.04676	9.32211	0.0041806	0.388473	0.00239447	0.00103446	0.00166584	0.00236622	0.33505	1.03161	238.36
0.026037	56.156	37.7692	70.5459	85.3854	66.821	12.0293	57.3137	7.5362	27.2896	39.7823	21.3705	65.2608	97.7153	0.00187311	0.00116214	0.00155498	0.763349	0.0647916	0.129969	0.00153034	0.418384	0.110418	0.00170929	0.00469123	0.00439512	0.378666	9.19932	4.7339	9.86169	6.71535	3.88767	2.84217	7.7921	4.92916	3.30917	9.25493	5.6331	6.94212	1.7152	8.51949	0.0025461	0.647463	0.00336645	0.014432	0.00528847	0.140414	0.00629165	358.005	753.034
0.0262395	172.93	11.1296	55.6256	53.5243	9.33122	88.8956	90.1325	29.9559	83.9287	72.9801	10.3437	62.4428	11.3438	0.0795364	0.0231027	0.0314994	0.181791	0.0239768	0.732177	0.130965	0.00955817	0.0295985	0.0205934	0.00308485	0.0511453	0.252059	2.71721	9.27892	8.04599	6.92435	4.98326	3.97958	5.40455	9.12297	1.82077	9.87754	1.56099	2.76083	9.77357	8.32637	0.0886386	0.985686	0.006314	0.0147806	0.0626321	0.00244511	0.648185	33.3232	7.05786
0.0263383	22.7699	24.2747	37.4569	58.2278	26.0794	48.5816	53.5411	8.69052	71.8337	14.9681	13.3251	99.6313	16.9134	0.0023499	0.00369982	0.0495072	0.456913	0.271896	0.0474951	0.00210948	0.00351348	0.408328	0.00240079	0.00309335	0.0146298	0.0327539	7.5044	9.591	6.32342	7.87583	7.87353	9.63545	3.31802	7.04113	8.66958	4.63978	4.40345	7.12332	2.1549	8.14812	0.229071	0.12383	0.0048335	0.0314029	0.13872	0.0030145	0.253803	7.72346	68.1618
0.0264637	3.35109	18.1601	5.28591	18.293	39.338	14.0533	75.1551	30.1039	53.5845	87.6789	47.928	28.8561	94.0302	0.00886239	0.0237933	0.0275312	0.124759	0.365574	0.0690672	0.267936	0.0179767	0.0379686	0.089504	0.00223229	0.00876952	0.0025282	5.55902	7.28879	5.99431	9.58066	7.07292	3.92402	4.34729	6.83003	1.74975	1.89036	1.5258	3.10444	5.82571	9.01646	0.00265651	0.00114918	0.0554683	0.00281237	0.001169	0.93093	0.550402	338.085	54.5768
0.026493	165.229	39.4931	93.9014	40.4357	56.1113	97.1193	5.9882	28.6133	86.2141	87.6519	19.5793	48.9856	21.1479	0.00826894	0.00684594	0.0754036	0.525153	0.405385	0.530162	0.0207366	0.816953	0.171546	0.00227577	0.0145986	0.986872	0.30405	8.45114	6.34685	2.22343	8.34323	7.04303	4.6373	8.41622	7.39842	9.06732	1.66284	4.07016	2.03442	1.9923	8.287	0.0126958	0.015721	0.009972	0.0612697	0.416884	0.0150226	0.148684	604.572	1.62258
0.0265449	16.3192	17.2736	69.3618	73.5148	35.3541	33.4739	31.7282	61.9408	76.8706	78.5897	7.92966	92.7299	26.781	0.00950834	0.00753065	0.0780414	0.0893625	0.044631	0.275288	0.0635553	0.00198732	0.00182023	0.478075	0.00276762	0.00497148	0.191786	9.0646	7.64237	7.52893	7.7966	8.49483	9.11127	4.42409	9.25901	2.18075	9.83494	4.08059	2.44955	6.17075	7.47127	0.129116	0.00323609	0.104067	0.0664197	0.219645	0.29157	0.887735	13.5087	25.1279
0.0265658	128.045	49.1068	37.8121	92.2839	9.12955	33.2076	44.1588	83.7801	41.6722	10.1094	21.801	27.7391	7.26617	0.0198045	0.00364538	0.0111404	0.0342015	0.0891048	0.0212033	0.0247081	0.00741438	0.0464396	0.103063	0.0510633	0.00235052	0.0484576	6.73206	8.70417	5.15668	6.29492	9.49021	4.78805	7.55631	9.94088	6.56123	4.4175	2.7984	5.46817	7.59037	7.19739	0.0347292	0.00149127	0.0434303	0.00150512	0.446595	0.686718	0.253141	429.045	2.07799
