Score	CPUt	H_en	H_EN	H_wg	H_IWG	H_EWG	H_ptc	H_PTC	H_ci	H_CI	H_hh	H_HH	H_PH	kappa_WGen	kappa_CNen	kappa_CNwg	kappa_CIwg	kappa_WGwg	kappa_CNptc	kappa_CIptc	kappa_Bci	kappa_ENci	kappa_ENhh	kappa_CNhh	kappa_PTCCI	kappa_PTCHH	nu_CNen	nu_CNwg	nu_CIwg	nu_WGwg	nu_WGen	nu_CNptc	nu_CIptc	nu_Bci	nu_ENci	nu_ENhh	nu_CNhh	nu_PTCCI	alpha_CIwg	alpha_WGwg	r_ExoWG	r_EndoWG	r_MxferWG	r_LMxferWG	r_LMxferPTC	r_LMxferHH	C_CI	PTC_0	HH_0
0.0263653	1535.58	89.2375	76.3359	54.3214	6.64921	10.5395	69.1541	93.1936	68.767	12.0623	79.4436	76.5182	58.1696	0.0128157	0.0076806	0.00337325	0.1331	0.559853	0.0250521	0.0477126	0.926308	0.330558	0.00624933	0.00761304	0.00421919	0.344378	4.00553	8.35231	3.87561	5.90099	7.7204	9.23159	3.34763	4.1921	2.20141	8.59866	8.14545	8.6362	3.03668	8.80039	0.00225809	0.0230835	0.0144298	0.0504198	0.409506	0.200828	0.771978	2.79228	417.342
0.0265989	309.063	39.6164	92.4043	98.4139	8.69027	90.0726	88.0375	11.1612	9.71408	63.646	90.2647	53.38	55.575	0.0164916	0.00160724	0.00273056	0.821339	0.61161	0.0981731	0.00733249	0.00558019	0.130577	0.04021	0.00821938	0.1493	0.00938332	1.08526	2.20673	9.83811	6.8631	9.50464	7.65213	1.63288	2.201	3.70783	8.36405	2.21689	7.16379	3.70199	8.60853	0.0036429	0.0303086	0.612779	0.00794077	0.00231213	0.0876338	0.00535362	931.487	506.631
0.0279207	2375.03	58.5373	37.1934	15.7047	72.6024	56.192	98.1505	7.06959	62.9392	24.2387	82.1894	93.332	77.7815	0.331694	0.0066494	0.128178	0.0927528	0.59507	0.0283841	0.00969556	0.00133942	0.00900214	0.00212738	0.00104783	0.0145271	0.0213262	9.82228	2.79154	6.53312	9.88456	8.5101	1.02149	2.78644	5.99656	2.84989	7.41255	4.48495	8.55266	2.63443	6.32665	0.00170537	0.0106102	0.0358221	0.118636	0.107574	0.0152583	0.352361	59.6144	462.017
0.0284282	1341.34	10.1791	10.0629	74.9466	60.8309	11.7567	46.0496	85.5495	75.7685	50.4317	32.6104	84.3087	11.756	0.00160871	0.00881054	0.0180185	0.0440468	0.0222611	0.556146	0.00915524	0.00326007	0.304533	0.295698	0.064001	0.0182699	0.172016	3.61153	8.49788	3.08285	9.03193	4.60335	4.96578	7.14256	3.01337	9.48331	6.49008	3.17847	4.36388	7.75538	5.3392	0.408484	0.00367969	0.044212	0.493865	0.00318352	0.00102399	0.0395784	956.951	108.103
0.0288446	1976.19	9.63785	6.63279	49.1988	14.0371	47.2665	92.0732	48.8711	7.57263	28.4219	57.9751	21.9749	64.9729	0.00240536	0.00121403	0.0286831	0.904105	0.104436	0.255428	0.109108	0.00490722	0.0454899	0.162895	0.0105685	0.00487319	0.00132915	5.08594	5.40768	4.58513	4.81218	2.4465	4.34855	1.01506	9.63095	2.61964	7.70321	6.0273	3.52315	8.15048	5.8383	0.358857	0.00252198	0.0264395	0.403146	0.00351773	0.0169928	0.246796	131.94	4.65494
0.0303162	1680.79	42.4131	41.14	93.1421	98.9589	24.1739	68.7842	17.7825	37.0975	15.4464	24.2109	69.0477	27.7424	0.0038606	0.0436754	0.0683554	0.586294	0.129399	0.143781	0.0108702	0.0190716	0.259305	0.453706	0.0114769	0.00962423	0.0133193	9.85679	2.99911	6.79867	6.93411	1.32715	3.15644	6.68333	5.68447	8.59208	2.61837	5.43694	2.55743	9.18618	9.26136	0.0490887	0.00282912	0.00371012	0.347851	0.0389598	0.146012	0.568363	10.7483	3.40922
0.0310579	1497.25	76.6448	44.5785	90.1972	14.1374	41.2055	97.5617	97.3049	50.1114	61.1291	73.8222	68.0139	67.6933	0.0677477	0.0324652	0.00145013	0.526308	0.637685	0.572029	0.0541082	0.0375041	0.330859	0.103135	0.197077	0.11243	0.00505083	9.94057	4.25238	2.10191	4.30238	3.51962	4.00687	3.75513	1.5381	8.733	3.34056	7.36623	7.52741	2.45294	5.51289	0.00168829	0.0727852	0.0106157	0.00183371	0.00238517	0.44239	0.0512211	17.3627	16.7306
0.0310664	2926.75	93.0606	11.388	61.5773	27.3432	44.4681	90.2416	17.6067	27.0998	6.06828	56.0847	65.2619	98.7017	0.0517389	0.0498113	0.196896	0.657147	0.0215806	0.216594	0.0248057	0.016781	0.299678	0.133322	0.0316786	0.0142927	0.943403	8.19846	9.77686	4.82164	6.1308	4.10349	3.35902	9.71445	3.16334	9.46799	9.39921	9.69463	4.83802	5.28736	3.86119	0.813117	0.00162764	0.0278386	0.0670829	0.00275304	0.417144	0.87303	17.3312	296.77
0.0337828	1200.36	45.7295	87.6325	48.169	5.82558	51.7027	19.9721	6.48765	29.4965	98.3616	75.5045	21.8769	71.5462	0.0718226	0.00596166	0.0101645	0.379938	0.535154	0.197039	0.111161	0.215023	0.311534	0.00647188	0.00136009	0.682577	0.156892	7.53085	3.92648	2.27857	5.94839	3.61696	2.11545	9.41414	4.27672	9.5196	2.66978	9.01482	7.81048	6.02487	3.3881	0.0453686	0.978023	0.0455332	0.00702029	0.00460958	0.762593	0.0564427	2.06814	3.83278
0.0338072	898.278	65.4081	68.1563	57.4217	49.2452	30.1203	58.7059	55.8611	14.434	72.5161	89.1902	77.075	83.1979	0.0117521	0.0017719	0.00105587	0.266774	0.642769	0.105564	0.196444	0.419238	0.275002	0.207957	0.029319	0.020022	0.507468	8.92182	5.37593	7.23568	6.39738	1.38664	3.51827	2.37508	9.19625	6.8719	6.62238	6.57514	2.25757	2.51484	9.11738	0.0114962	0.0320883	0.00283262	0.0284473	0.989731	0.21102	0.459718	941.32	14.21
