Score	CPUt	H_en	H_EN	H_wg	H_IWG	H_EWG	H_ptc	H_PTC	H_ci	H_CI	H_hh	H_HH	H_PH	kappa_WGen	kappa_CNen	kappa_CNwg	kappa_CIwg	kappa_WGwg	kappa_CNptc	kappa_CIptc	kappa_Bci	kappa_ENci	kappa_ENhh	kappa_CNhh	kappa_PTCCI	kappa_PTCHH	nu_CNen	nu_CNwg	nu_CIwg	nu_WGwg	nu_WGen	nu_CNptc	nu_CIptc	nu_Bci	nu_ENci	nu_ENhh	nu_CNhh	nu_PTCCI	alpha_CIwg	alpha_WGwg	r_ExoWG	r_EndoWG	r_MxferWG	r_LMxferWG	r_LMxferPTC	r_LMxferHH	C_CI	PTC_0	HH_0
0.026959	713.435	52.8425	20.3123	38.0981	99.9161	21.9992	54.7443	86.0167	41.677	15.9359	24.937	33.1965	50.7927	0.160978	0.103202	0.0130148	0.0341204	0.257243	0.274198	0.025561	0.00156037	0.0751468	0.0489801	0.0271551	0.00505524	0.0023603	5.61546	3.30638	2.42991	8.83472	6.29352	5.8263	8.01243	1.91463	6.95278	9.17155	3.71472	5.79555	9.07458	8.86722	0.0288251	0.0261074	0.0280184	0.168666	0.0194305	0.00761917	0.22987	1.47865	36.6984
0.0280034	929.081	47.6238	25.2988	23.9859	63.2898	96.9524	98.2171	29.3743	15.7877	34.2676	55.9419	22.8723	29.4133	0.145811	0.0883002	0.0157308	0.816792	0.37022	0.253709	0.339201	0.0791218	0.312	0.00282086	0.0796382	0.00107939	0.0189636	2.57692	1.25738	8.521	4.76659	2.71199	7.36772	4.62907	9.02902	7.62769	3.95019	8.87667	8.33361	8.29557	8.01263	0.0211695	0.0281003	0.00307793	0.0687058	0.697266	0.0653651	0.259559	93.9355	15.0348
0.0284516	313.334	29.3055	73.2651	17.5838	82.3697	85.9671	15.6264	76.5179	36.5437	94.1612	28.2549	75.9263	21.8052	0.0175239	0.0266162	0.00197674	0.258039	0.504984	0.640918	0.00445525	0.011268	0.0771296	0.236976	0.0382324	0.893196	0.0530282	5.79687	1.86431	5.2562	2.75748	6.63244	3.32398	4.80566	9.21547	4.9183	4.51373	6.41627	5.22203	3.44017	6.27442	0.00331703	0.371495	0.0127363	0.0192938	0.00505971	0.451394	0.964455	651.005	109.25
0.0292587	1036.66	92.3295	52.9233	38.0343	80.9107	31.1874	88.5984	47.9164	12.1086	18.6674	17.3422	41.1279	23.3074	0.0293038	0.00441399	0.0120207	0.212178	0.0894514	0.00464302	0.0072273	0.0031327	0.0162844	0.0172973	0.00133995	0.00853658	0.521796	3.99957	3.86719	2.29227	4.80653	2.97633	3.08873	8.73257	6.59968	6.08023	3.00361	5.31343	5.88381	4.92	6.33364	0.00296198	0.405997	0.0081701	0.00118457	0.206734	0.00200479	0.204418	11.4332	213.375
0.0299292	661.26	7.14735	61.5661	15.7269	8.89666	22.5002	20.8806	95.8422	31.5137	19.8137	77.691	78.1779	57.6679	0.00156444	0.00810734	0.0143858	0.258547	0.349991	0.0448575	0.00402868	0.00104624	0.0611103	0.0347178	0.0151666	0.0349269	0.0441978	5.644	3.92734	9.24893	7.87318	6.27411	3.73295	7.79102	9.24125	5.71802	6.87246	6.43739	7.56507	1.44289	5.83901	0.00387274	0.778967	0.147662	0.0701938	0.0429222	0.00345455	0.0293163	361.627	10.738
0.0304247	66.1151	41.271	83.3284	7.17575	49.3332	80.7654	49.6144	22.9746	14.7793	62.7105	10.6193	89.9699	34.042	0.00100967	0.0165679	0.0053782	0.146767	0.00917624	0.587056	0.0174632	0.00313488	0.0675788	0.0240515	0.00457482	0.0111876	0.0250568	4.07436	7.0415	1.41429	6.27386	5.02915	9.43228	1.24087	5.69155	3.13003	3.99612	8.93875	9.40702	9.98866	3.95351	0.499775	0.00211399	0.00235345	0.0225028	0.155309	0.239465	0.899874	50.5474	3.22125
0.0313053	1061.82	77.3488	38.1803	38.4123	65.0065	54.3373	69.7496	53.2013	81.5969	17.3862	85.7435	87.1765	77.8995	0.0542546	0.0324547	0.351409	0.0960258	0.101937	0.668433	0.00370616	0.0396555	0.0521814	0.336535	0.0897294	0.00105279	0.00506598	3.99836	9.94132	8.81317	9.9348	5.92817	2.98936	3.71127	5.58566	8.90079	6.25793	9.27906	7.64697	1.32067	6.33638	0.206898	0.0439984	0.00209969	0.0531473	0.0376466	0.0379224	0.219824	420.254	66.0526
0.0319193	386.844	66.4602	98.0357	68.7759	9.36056	19.2535	36.722	6.45633	51.2879	15.6313	9.3477	74.2902	96.5892	0.417353	0.060304	0.147873	0.0690018	0.110446	0.386184	0.712327	0.00177666	0.278574	0.457033	0.0684613	0.0032393	0.42397	9.44434	3.62613	8.1837	8.32918	8.5239	4.60611	9.99107	6.72193	9.20007	5.12962	4.58545	1.4812	7.75078	3.70686	0.391259	0.192258	0.00528347	0.0260507	0.0026344	0.676453	0.641742	1.59674	7.20735
0.0322248	799.241	93.1392	97.4952	21.0164	18.5316	75.8452	5.85221	24.721	5.16729	79.3417	77.7368	57.9427	89.5087	0.0587078	0.00536512	0.0105885	0.867102	0.0446225	0.127606	0.486482	0.140011	0.0715157	0.463378	0.122046	0.0773399	0.00154451	4.87597	6.76087	2.23147	6.32608	2.49962	4.90201	3.93653	5.8795	9.91516	7.27729	7.89921	6.27071	7.22283	4.40333	0.986877	0.0122265	0.0415793	0.0208529	0.24398	0.0651147	0.211087	1.44957	235.623
0.0322263	707.381	66.1554	57.0685	50.5116	79.7689	92.8359	43.8269	43.309	40.9314	23.7879	27.9064	66.8029	27.7651	0.0546371	0.00331829	0.0344027	0.288567	0.00921444	0.0385964	0.0997353	0.0734713	0.0907926	0.138531	0.00526215	0.05396	0.00204267	1.77838	8.88592	9.52485	7.81056	7.38172	8.3664	2.89119	4.1478	6.53865	7.70453	5.29011	1.26561	3.93436	4.09168	0.46277	0.00155399	0.774628	0.13635	0.00130734	0.0664241	0.0191161	238.109	76.4702
