Score	CPUt	H_en	H_EN	H_wg	H_IWG	H_EWG	H_ptc	H_PTC	H_ci	H_CI	H_hh	H_HH	H_PH	kappa_WGen	kappa_CNen	kappa_CNwg	kappa_CIwg	kappa_WGwg	kappa_CNptc	kappa_CIptc	kappa_Bci	kappa_ENci	kappa_ENhh	kappa_CNhh	kappa_PTCCI	kappa_PTCHH	nu_CNen	nu_CNwg	nu_CIwg	nu_WGwg	nu_WGen	nu_CNptc	nu_CIptc	nu_Bci	nu_ENci	nu_ENhh	nu_CNhh	nu_PTCCI	alpha_CIwg	alpha_WGwg	r_ExoWG	r_EndoWG	r_MxferWG	r_LMxferWG	r_LMxferPTC	r_LMxferHH	C_CI	PTC_0	HH_0
0.0259896	670.629	18.6274	53.1399	65.9743	49.4737	8.22623	89.1836	10.1218	9.45513	95.8117	47.8383	90.0124	36.8916	0.0664972	0.0015432	0.00242915	0.26774	0.490795	0.0368405	0.767775	0.923123	0.0203553	0.0524902	0.006796	0.00227689	0.00115525	1.96947	5.00114	9.58193	5.85746	7.5785	2.41996	2.46123	3.51653	5.70056	4.82038	3.03892	3.88513	4.39553	9.54208	0.00211204	0.048872	0.691057	0.00147789	0.542491	0.00509888	0.0115386	11.6806	1.73521
0.0260887	618.967	89.7416	11.726	29.7309	83.5384	89.8909	47.5383	19.5175	41.3209	37.6273	92.1946	89.9049	45.34	0.146019	0.0503299	0.0890709	0.629234	0.0738023	0.0738766	0.0166122	0.00526159	0.0286135	0.115842	0.0137155	0.00863062	0.0770818	5.58793	3.76794	2.58835	5.63373	9.34171	4.30527	6.67489	1.60596	8.62851	3.61217	3.40406	6.92058	1.98119	9.2512	0.00304576	0.209209	0.0011357	0.0135918	0.454461	0.0114932	0.0939074	1.78611	1.48295
0.0263286	40.9449	27.3213	44.3796	83.1022	40.3444	5.78141	78.5075	13.7201	95.6629	54.6253	8.92093	38.1472	61.8091	0.0133214	0.00258951	0.179655	0.0594663	0.113476	0.0306878	0.00108192	0.110278	0.00144451	0.00879443	0.00151753	0.00634999	0.00303972	9.44657	6.00682	2.55201	8.97394	4.98497	2.61262	2.95788	6.82641	5.03419	6.16545	1.37324	8.18925	3.49756	8.21005	0.0242934	0.313704	0.00237928	0.0465454	0.0588596	0.211601	0.443037	31.8262	204.972
0.0263964	88.4809	13.5472	25.4083	62.1646	68.3464	86.5978	55.3163	38.4284	75.3147	77.0996	50.9209	60.2544	8.7273	0.0099276	0.00933965	0.00216565	0.116123	0.0126916	0.720161	0.0276291	0.743426	0.021707	0.0232444	0.0203782	0.140733	0.00157117	7.3951	1.95188	7.32805	6.28237	1.82873	1.14738	8.02075	7.35909	9.61	3.46765	4.53912	4.43127	1.00286	8.08928	0.381276	0.00478946	0.003692	0.0143162	0.0192121	0.0101387	0.125868	24.4739	41.1327
0.0264904	615.333	68.0324	45.2496	51.2719	15.7489	70.6509	8.495	62.636	54.097	78.1671	30.4476	53.3648	23.2864	0.143694	0.0173731	0.00745838	0.573453	0.0106774	0.770868	0.484142	0.0946616	0.133787	0.137532	0.00667342	0.00736173	0.0012107	5.73588	4.54199	7.84863	9.75201	5.43875	4.54666	6.33021	7.88818	4.49479	2.48962	4.96347	4.40975	1.99246	8.33866	0.759423	0.00290997	0.0469436	0.323907	0.745844	0.537556	0.00232283	3.3686	189.547
0.0267007	303.137	59.6652	49.5076	94.9724	23.8503	62.9452	96.6166	95.2433	48.2078	69.4775	70.957	75.6287	74.635	0.00238493	0.00160751	0.454876	0.481723	0.0122936	0.86696	0.0539537	0.0659262	0.00552722	0.325838	0.0113735	0.00566905	0.0130449	3.72498	3.62416	5.21663	9.11268	5.89036	9.06669	3.34479	6.78125	5.2024	7.36604	4.74879	9.09117	2.28745	7.5845	0.921649	0.00485227	0.568066	0.0304399	0.0240809	0.0190458	0.0325565	992.679	16.7838
0.0267799	281.072	93.2922	44.1684	51.5305	22.2998	83.6757	38.4937	7.82105	72.1055	40.7953	29.2001	90.1013	31.2384	0.00328132	0.00604573	0.360556	0.313042	0.0195168	0.149341	0.0215207	0.170271	0.00160828	0.0196357	0.00114758	0.0994863	0.253707	6.93331	5.24253	8.76469	9.83283	3.57369	3.06717	7.66954	8.88821	1.09764	7.91454	2.00059	8.83118	4.98745	7.55789	0.464647	0.00107238	0.00500448	0.00906132	0.00305797	0.0594878	0.890756	3.0788	81.782
0.0267802	552.504	26.9123	13.1491	63.8241	41.4465	81.6789	76.8663	62.317	64.9983	89.5585	29.7946	66.7245	88.1915	0.0487043	0.00595676	0.809686	0.887981	0.0115755	0.479107	0.0030234	0.0909335	0.0117957	0.00609377	0.0661824	0.0238148	0.00355524	4.9521	7.28321	8.30481	8.30117	4.40613	4.29712	6.65858	9.29388	3.81759	2.74292	2.36924	7.03482	2.68292	7.26875	0.861903	0.00229389	0.286409	0.00485845	0.0684873	0.0609222	0.0208688	11.9556	13.3914
0.0270657	591.008	31.8377	52.6805	21.7142	96.5034	10.8261	97.0642	55.5369	91.394	71.6725	54.1685	79.3646	83.5179	0.0415003	0.00916966	0.00174427	0.245977	0.00741233	0.0238372	0.149352	0.00618801	0.00127504	0.223762	0.00105503	0.00525337	0.00334173	5.07113	1.52875	8.37283	6.89482	5.95277	4.37437	9.73109	6.02093	9.92689	7.57909	6.61443	6.16416	4.23629	7.25666	0.755875	0.0339076	0.00807297	0.00139332	0.937625	0.112197	0.209657	3.57202	80.4503
0.0271514	325.706	68.3492	47.1544	46.2442	86.2349	60.0112	70.9411	15.5368	59.1506	24.3395	74.3077	11.6471	66.0987	0.0414585	0.00354041	0.00592439	0.439077	0.00122312	0.0237311	0.0538942	0.14489	0.00396185	0.00379191	0.00353024	0.00551012	0.0038465	8.10707	6.30308	4.71569	4.74044	5.1416	5.07994	6.30247	8.67986	5.09211	2.09723	9.17288	2.72032	1.0374	6.77501	0.417937	0.00137382	0.00102163	0.00181427	0.00235004	0.00358329	0.116726	548.039	158.15
0.0276544	845.317	92.4058	46.11	71.1232	14.7995	64.1908	65.4206	87.9481	62.9766	53.2955	45.1882	90.1239	54.1621	0.135022	0.0197729	0.0146595	0.147072	0.68007	0.0202388	0.00372577	0.26483	0.00686582	0.0171621	0.00224262	0.00106895	0.0070613	7.74591	5.0832	9.52463	4.89279	4.13249	5.53252	3.37469	2.76732	7.51655	2.15212	3.24717	1.19466	2.22102	8.61309	0.00284554	0.011883	0.00423413	0.253696	0.00110717	0.0074889	0.461616	594.879	29.2883
0.0278641	155.21	16.0382	44.4357	32.1861	41.6526	21.9663	46.2875	78.6968	45.6092	56.1112	95.6369	66.6544	8.6817	0.00937934	0.0168834	0.025777	0.525085	0.0435607	0.306421	0.00325389	0.879764	0.223887	0.00234973	0.00328081	0.0646539	0.00148049	8.02756	9.9462	4.67637	9.95285	8.34948	1.20076	9.72433	8.98264	4.2292	1.88563	2.94995	4.30925	3.48555	5.83104	0.00844457	0.00433729	0.00211491	0.00668467	0.056709	0.00453753	0.0187044	3.1868	60.271
