Score	CPUt	H_en	H_EN	H_wg	H_IWG	H_EWG	H_ptc	H_PTC	H_ci	H_CI	H_hh	H_HH	H_PH	kappa_WGen	kappa_CNen	kappa_CNwg	kappa_CIwg	kappa_WGwg	kappa_CNptc	kappa_CIptc	kappa_Bci	kappa_ENci	kappa_ENhh	kappa_CNhh	kappa_PTCCI	kappa_PTCHH	nu_CNen	nu_CNwg	nu_CIwg	nu_WGwg	nu_WGen	nu_CNptc	nu_CIptc	nu_Bci	nu_ENci	nu_ENhh	nu_CNhh	nu_PTCCI	alpha_CIwg	alpha_WGwg	r_ExoWG	r_EndoWG	r_MxferWG	r_LMxferWG	r_LMxferPTC	r_LMxferHH	C_CI	PTC_0	HH_0
0.0258716	549.541	13.1172	8.4052	97.3894	13.1296	25.9909	7.2151	27.771	96.5822	53.5736	25.9013	21.8642	37.2664	0.0826714	0.0408937	0.00491405	0.0143108	0.202888	0.76811	0.00143193	0.132603	0.0236276	0.00748211	0.0219595	0.15289	0.0142263	5.75213	3.52871	2.60771	6.63407	4.88416	8.72824	7.20826	1.24492	7.04569	3.81882	5.6041	4.41163	3.21542	9.85291	0.202883	0.0401419	0.979339	0.00148087	0.0806391	0.228549	0.514112	1.45876	24.3177
0.0265912	274.877	20.8298	14.7365	61.9309	89.2098	15.7223	63.6548	80.1737	92.2441	95.5979	88.3966	29.9049	15.9236	0.00817898	0.0051792	0.00183221	0.427826	0.0622085	0.356423	0.10593	0.00454547	0.00714715	0.348193	0.0172758	0.0692784	0.288016	7.73897	5.32082	4.54286	7.33447	4.13034	6.5203	6.16616	2.62427	7.19649	3.3414	8.38727	7.704	1.36111	9.4794	0.0515035	0.0011675	0.376758	0.806388	0.0326829	0.895581	0.140676	443.691	217.174
0.0268472	556.512	61.1822	7.39347	6.45711	66.5355	18.1475	95.4574	83.056	21.8366	66.8529	67.5811	14.1095	26.2137	0.0192942	0.00480129	0.0156111	0.0870738	0.0313668	0.0031123	0.00119801	0.209538	0.0107466	0.00545438	0.00633901	0.00492837	0.00350828	7.00191	8.12365	9.54427	4.9083	6.24659	3.73949	3.52436	7.85634	7.60916	5.73503	7.52375	1.92525	5.14145	7.17438	0.00226282	0.193066	0.00116022	0.00373989	0.0359851	0.360985	0.163517	1.91906	48.8116
0.0272104	680.231	11.0235	62.3054	40.1344	24.3155	91.5824	29.3491	98.6103	82.9044	88.7849	11.2596	88.1826	88.1381	0.228855	0.00751692	0.00113136	0.295453	0.202139	0.0161711	0.00454409	0.444963	0.0111486	0.074987	0.0742461	0.00154486	0.275873	3.69545	9.23173	3.56185	7.25608	5.22098	8.70475	6.70527	9.86369	1.87252	2.74921	4.85294	3.92213	2.48203	7.28605	0.00593607	0.0587451	0.00106196	0.718461	0.232404	0.0229213	0.0162177	242.554	2.81413
0.0272304	133.433	74.9913	59.9712	59.1391	11.9123	81.8851	69.7414	15.6522	56.0215	67.2959	53.4882	28.9265	45.2206	0.00215185	0.00581013	0.00365705	0.942795	0.0288949	0.0454247	0.190744	0.00228768	0.00612568	0.148906	0.00813416	0.00591903	0.146597	5.93405	1.87407	2.10557	9.39953	5.77899	7.30221	8.82026	8.14795	5.08691	3.57375	9.3389	1.92735	3.41327	6.76681	0.00594205	0.433218	0.00147203	0.00798136	0.0149991	0.0361274	0.013675	1.28869	3.54956
0.0273023	373.166	62.4879	71.2077	85.2206	85.9923	48.1374	5.88013	88.7301	71.4699	74.0844	54.818	97.7476	95.5621	0.00834822	0.0288428	0.00318882	0.00392376	0.448282	0.444707	0.012248	0.0450569	0.0103361	0.294983	0.038161	0.00167358	0.0095244	4.02879	3.13527	6.92003	9.96475	1.67334	7.98312	2.80869	4.9845	2.68442	6.22823	7.25441	2.94023	5.19933	7.27865	0.00227381	0.0144678	0.00505699	0.0172296	0.0265688	0.00126063	0.825202	388.244	64.4127
0.0274317	594.837	5.56875	59.2899	12.1281	28.8284	28.8603	33.0888	76.7404	59.9972	79.1391	35.3491	92.8286	78.8429	0.0437589	0.0728704	0.0692274	0.00707852	0.32873	0.0756165	0.0166738	0.272073	0.0282404	0.216757	0.00854203	0.00244106	0.0247024	6.94684	6.76023	3.87426	8.00552	7.17413	6.89304	7.63954	6.0395	1.54759	6.43351	1.99489	1.28501	1.08868	6.26019	0.00527629	0.00604706	0.0016951	0.00592766	0.37864	0.0594284	0.882475	759.554	2.85918
0.0275561	400.442	5.14629	22.2057	74.4579	5.55713	42.7519	80.086	60.7755	12.4675	89.0208	53.3823	52.8381	83.0307	0.144616	0.00803751	0.00841586	0.0554924	0.0285616	0.00146105	0.00167436	0.215215	0.00827846	0.00768585	0.00349023	0.00397598	0.247402	2.91318	6.24626	8.03036	4.82253	9.48737	1.57481	2.08518	5.25359	5.36773	9.11268	3.51748	8.52044	1.87757	6.09233	0.0773092	0.0116208	0.0010692	0.00132697	0.00364757	0.0125973	0.0424531	9.29866	3.09701
0.0279181	655.412	82.6699	36.0593	59.218	92.8878	78.1978	81.46	29.163	97.8859	21.1161	28.778	17.5141	66.7007	0.0365315	0.0375927	0.00118163	0.00224527	0.236049	0.139005	0.00470226	0.00242377	0.00130906	0.089714	0.0126583	0.012113	0.0452558	4.8458	5.62298	9.91807	8.82036	9.44932	8.19035	8.32373	5.16227	1.58206	3.21344	7.87836	9.56394	5.15407	5.71814	0.00124281	0.00282953	0.00301936	0.0817828	0.0261119	0.00115779	0.140674	1.51694	283.523
0.0279365	501.286	28.8195	8.17921	39.6007	64.8147	38.5472	33.1848	82.3795	97.9124	83.5785	63.396	18.9112	64.7185	0.0134231	0.0521547	0.0206498	0.25443	0.0523621	0.163717	0.0054219	0.150131	0.00554953	0.00290949	0.0141559	0.324888	0.00310715	5.74949	6.27165	7.16242	7.56896	2.42645	1.33247	2.21539	2.85872	3.23476	9.24846	8.00885	1.47103	9.73603	5.66856	0.0802279	0.00190581	0.0116836	0.0468824	0.01358	0.0169792	0.832291	4.17239	67.4802
