Score	CPUt	H_en	H_EN	H_wg	H_IWG	H_EWG	H_ptc	H_PTC	H_ci	H_CI	H_hh	H_HH	H_PH	kappa_WGen	kappa_CNen	kappa_CNwg	kappa_CIwg	kappa_WGwg	kappa_CNptc	kappa_CIptc	kappa_Bci	kappa_ENci	kappa_ENhh	kappa_CNhh	kappa_PTCCI	kappa_PTCHH	nu_CNen	nu_CNwg	nu_CIwg	nu_WGwg	nu_WGen	nu_CNptc	nu_CIptc	nu_Bci	nu_ENci	nu_ENhh	nu_CNhh	nu_PTCCI	alpha_CIwg	alpha_WGwg	r_ExoWG	r_EndoWG	r_MxferWG	r_LMxferWG	r_LMxferPTC	r_LMxferHH	C_CI	PTC_0	HH_0
0.0257823	1235.22	6.50632	20.5259	83.292	5.92699	39.2988	84.1792	8.43498	38.0707	49.684	57.8489	99.8135	80.1081	0.00574482	0.0105447	0.00680528	0.0645585	0.0921811	0.216499	0.00168305	0.00514487	0.0102665	0.0357098	0.156382	0.0438081	0.419659	7.78594	1.75337	5.29188	2.06885	7.59367	7.17449	4.78346	6.57064	5.89956	6.0545	6.66419	4.83043	3.00436	9.94301	0.00226863	0.0241539	0.00957938	0.00149323	0.0932842	0.0133919	0.473638	13.594	4.85929
0.0259015	368.927	7.36132	64.9055	41.0011	53.0572	15.6864	9.05961	90.7462	17.825	63.3072	25.5939	17.5457	45.4028	0.00216787	0.00381323	0.00358116	0.00726816	0.0183972	0.521697	0.0392144	0.450426	0.00697885	0.0077491	0.1449	0.0243738	0.00134476	8.26707	7.70063	7.59941	5.72397	5.82515	8.47979	2.87459	3.25877	3.02889	4.50804	9.01779	6.02851	9.96479	9.4036	0.138859	0.00130816	0.00199285	0.0111918	0.104647	0.746247	0.661369	17.9994	428.421
0.0259413	413.15	51.8684	11.3236	24.5181	28.7976	68.5486	38.6383	54.3396	55.7968	93.8898	32.9942	96.0684	70.3562	0.0951626	0.0106275	0.00676778	0.0346332	0.390431	0.259377	0.00418461	0.00439752	0.0159917	0.0924525	0.115968	0.211012	0.296724	3.4695	6.17618	6.00202	9.20625	8.52242	3.72077	6.5281	2.29605	8.58276	9.3334	5.13266	3.09996	3.06253	9.30439	0.0178573	0.941932	0.00165184	0.00347884	0.00998266	0.0214255	0.0447145	1.30233	1.38056
0.0261916	694.113	85.0869	21.9547	21.7777	58.6782	43.6053	93.3677	5.26155	56.5778	59.3927	84.4218	46.1375	76.0666	0.00241574	0.00224993	0.0118317	0.479963	0.0477948	0.144784	0.0270117	0.00825227	0.00298684	0.246892	0.00950487	0.148474	0.00373178	3.15414	2.33517	1.95353	3.26504	6.20982	1.90486	9.65488	2.55432	9.13891	7.48369	5.42926	3.90861	6.41268	8.98419	0.00145513	0.00619518	0.0322123	0.00145873	0.0296014	0.00745397	0.228998	1.83438	90.5933
0.0262965	1876.5	44.4592	7.00416	82.4435	49.2609	7.35441	88.6216	24.4947	76.0141	17.8364	74.2754	18.1143	73.0666	0.0423686	0.0180189	0.00209066	0.131085	0.00340275	0.230302	0.00385381	0.0642568	0.0523553	0.0622193	0.0773683	0.00843208	0.0152385	3.79046	5.44194	2.59354	9.40573	3.97121	2.00602	8.81777	1.33811	4.50482	4.15865	6.83578	4.51636	5.86252	8.33978	0.482725	0.00138225	0.494537	0.00152086	0.150011	0.00429718	0.0103962	2.16548	639.465
0.0264152	950.607	10.4783	31.1488	96.407	7.55216	61.146	62.7619	78.7725	61.5801	71.6685	91.029	6.73668	52.0621	0.640214	0.0258908	0.00196218	0.0046723	0.0602403	0.00938856	0.00511245	0.917403	0.00553919	0.0233721	0.0014665	0.0458423	0.0444518	8.61398	7.67795	4.16643	4.6081	9.3105	3.94082	2.74503	1.5611	9.36306	8.42463	1.60045	3.90629	4.83043	9.33717	0.779667	0.00577496	0.857146	0.0246686	0.516706	0.0264433	0.0317594	14.3003	55.3921
0.0265263	1398.71	88.5726	8.00551	27.7561	50.4155	84.1958	18.0525	11.1356	38.7594	22.979	77.4216	93.8994	30.9507	0.00177846	0.0112916	0.00683283	0.0474843	0.00461812	0.565888	0.0714465	0.119913	0.00902918	0.00384311	0.160579	0.0438132	0.00763989	8.03341	7.39811	5.20427	8.80573	4.81248	3.027	4.62386	5.07242	6.18764	8.62826	5.03843	4.58143	3.21497	7.85492	0.454326	0.00128521	0.0733614	0.164746	0.254555	0.00642596	0.886256	7.60718	204.476
0.0265871	585.518	68.3004	83.7481	77.4251	14.7147	45.7566	45.3615	94.1218	62.296	53.5546	55.9126	86.0739	94.8356	0.00233675	0.048273	0.00148416	0.117994	0.0401714	0.646368	0.00185554	0.00454363	0.0336041	0.48308	0.0946385	0.0184814	0.083095	7.05823	5.01906	4.19162	3.70845	9.46883	3.22809	7.09243	8.45782	6.08445	8.80638	8.19135	3.92192	1.59108	7.79024	0.00206184	0.185793	0.171737	0.0575609	0.0386477	0.0227107	0.0840773	10.8703	10.2632
0.026637	1787.39	38.3539	15.7237	59.4291	51.0983	40.2059	81.4967	56.7998	75.9002	94.2383	67.9544	68.029	45.7578	0.0123638	0.0267241	0.00951479	0.0337004	0.362982	0.0745034	0.0275551	0.0433869	0.0210186	0.0135715	0.00348439	0.267819	0.00645216	4.50631	6.18188	8.88021	4.20135	8.30897	1.25615	9.58287	7.25361	2.94586	9.59231	1.02783	3.54643	3.6264	7.84439	0.00326015	0.0127115	0.0136304	0.0762899	0.00228507	0.0400477	0.0211768	191.334	9.69242
0.02665	2420.52	92.2047	42.6216	23.9944	64.4916	55.9273	54.0173	96.7186	57.4493	51.6989	81.7689	80.8874	72.4557	0.00984171	0.00103381	0.00253029	0.010118	0.0540597	0.0041023	0.00118152	0.864675	0.00433275	0.0227349	0.00439936	0.0403138	0.00109876	3.73098	2.23046	6.09968	8.86235	7.16753	1.8352	4.91954	5.23382	8.9958	7.15439	4.93741	1.15005	3.61939	7.98634	0.145173	0.118199	0.0055241	0.00110868	0.575937	0.0668296	0.0590088	23.1268	2.14473
