Score	CPUt	H_en	H_EN	H_wg	H_IWG	H_EWG	H_ptc	H_PTC	H_ci	H_CI	H_hh	H_HH	H_PH	kappa_WGen	kappa_CNen	kappa_CNwg	kappa_CIwg	kappa_WGwg	kappa_CNptc	kappa_CIptc	kappa_Bci	kappa_ENci	kappa_ENhh	kappa_CNhh	kappa_PTCCI	kappa_PTCHH	nu_CNen	nu_CNwg	nu_CIwg	nu_WGwg	nu_WGen	nu_CNptc	nu_CIptc	nu_Bci	nu_ENci	nu_ENhh	nu_CNhh	nu_PTCCI	alpha_CIwg	alpha_WGwg	r_ExoWG	r_EndoWG	r_MxferWG	r_LMxferWG	r_LMxferPTC	r_LMxferHH	C_CI	PTC_0	HH_0
0.0257869	511.628	18.3365	12.0985	16.0803	65.4699	33.7571	29.6757	43.1485	65.7654	90.5974	28.0148	56.1287	61.6158	0.00120781	0.00140231	0.00294949	0.00113296	0.0516473	0.0271074	0.00399942	0.020997	0.00110135	0.0427707	0.0100845	0.555409	0.529641	2.71755	7.94891	5.381	6.07128	7.88621	5.1078	2.20391	9.69299	1.94234	9.72791	8.43792	8.74805	9.30449	9.79475	0.0167444	0.00123588	0.0864326	0.0250194	0.00925057	0.0430647	0.804589	358.156	158.262
0.0259002	1097.38	22.7892	91.7783	71.7236	11.1005	12.8622	15.0538	78.262	67.0982	34.4063	68.6811	41.7523	5.85892	0.0266675	0.00570681	0.00743049	0.00715423	0.00715685	0.0459709	0.0863086	0.00182668	0.0284795	0.00113153	0.00123808	0.00668829	0.37389	2.79236	5.97197	4.64934	8.87974	9.5019	8.46675	8.01912	2.59383	8.51081	1.6244	5.04738	7.73545	6.99062	9.63483	0.136188	0.0323106	0.00260693	0.0672946	0.963217	0.105012	0.362621	738.161	219.084
0.0259133	660.032	11.7674	64.9895	29.8597	45.9975	97.9141	5.7378	42.7919	16.441	53.2053	72.6277	85.6485	37.4954	0.00734779	0.00337443	0.00159355	0.00888872	0.139246	0.0162678	0.775907	0.0074093	0.00204509	0.142748	0.357176	0.0141833	0.0104965	9.07853	2.90136	7.56085	6.26375	5.98921	6.01275	6.61535	8.42985	7.88325	6.5348	9.11227	4.89808	3.10138	9.60495	0.00294229	0.00202795	0.0305799	0.0679488	0.00147886	0.49179	0.699129	9.08007	286.244
0.0259372	1251.17	69.5922	94.7288	83.2675	17.4304	30.4459	32.3717	57.8467	22.5726	62.5497	10.466	30.9583	6.30713	0.00283795	0.00110203	0.0642327	0.0204712	0.0905186	0.476756	0.0523041	0.266791	0.236475	0.0425554	0.0010971	0.0159171	0.782362	8.14765	2.87357	9.27597	5.22718	5.80041	5.32447	3.54714	5.31586	8.63282	5.95584	2.55803	5.92567	5.22181	9.54231	0.293614	0.0681925	0.0032709	0.0204689	0.757078	0.0173386	0.0945911	219.949	1.23924
0.0259407	369.136	70.1815	85.3733	96.3552	9.88873	25.7535	99.8252	51.3264	72.3426	34.9056	58.916	5.02172	25.182	0.045151	0.00310864	0.0560763	0.0380101	0.0877476	0.22515	0.00277338	0.110359	0.00217377	0.00104663	0.0708403	0.0545222	0.00255821	8.30328	7.38804	3.27694	8.37326	5.85822	3.99256	5.89829	4.58894	5.56862	3.44849	3.81547	4.21909	7.31965	9.71694	0.0225219	0.6055	0.0358181	0.00417567	0.222872	0.0106783	0.0116316	50.165	551.801
0.0260002	789.876	71.647	11.5418	61.4932	69.6964	49.9913	60.3068	78.8355	70.3558	10.2167	33.756	18.8087	37.4196	0.0697274	0.00990099	0.0283799	0.388447	0.00571332	0.00366938	0.0168147	0.00452581	0.126925	0.284824	0.00735349	0.0920146	0.0311397	4.68969	9.42394	3.98716	8.75952	3.79655	1.39115	1.51959	4.42201	6.99794	6.2923	1.79687	2.9338	1.65129	9.36561	0.697477	0.00160732	0.00392111	0.0180313	0.397273	0.903617	0.0975439	794.673	2.23347
0.0260212	327.639	81.2089	40.9195	43.8869	82.2856	58.1918	10.1485	6.85079	75.8615	87.9043	13.3474	28.8708	95.5974	0.00389371	0.00147863	0.00464138	0.183219	0.433957	0.138137	0.00204432	0.00212043	0.0362571	0.0341362	0.112144	0.88036	0.00304429	3.52928	8.8593	3.884	9.30444	3.13427	9.78577	6.5223	7.19318	5.51407	6.50428	4.86331	3.13276	1.73272	9.37317	0.00278118	0.00432469	0.494735	0.0807252	0.00495844	0.00111361	0.014645	1.64951	1.65635
0.0260526	1019.31	96.7194	43.9683	58.5721	39.952	17.6768	47.3491	77.2524	97.7466	7.11984	22.8464	36.9496	90.0106	0.0179553	0.0034	0.00584539	0.00310547	0.01115	0.0435968	0.0593498	0.010969	0.208189	0.00286074	0.0679597	0.019758	0.0581912	6.48688	6.49709	7.12033	9.66348	9.58086	9.97042	7.41144	7.49642	4.78777	3.60473	8.90642	6.00822	5.33656	9.39195	0.84343	0.081414	0.00196735	0.18368	0.0462645	0.00862413	0.0118506	37.1811	661.28
0.0260721	434.386	97.3357	51.7811	43.1286	53.7805	19.4789	19.7382	18.5928	39.5993	23.5782	5.88258	89.3765	63.4217	0.143702	0.00288539	0.00132035	0.0191717	0.0176973	0.0527267	0.00368094	0.370388	0.00234295	0.143702	0.00204184	0.0318901	0.580826	3.42835	3.7527	8.22067	7.80448	6.65476	7.25748	5.97345	6.05195	3.13053	3.41572	7.64396	2.79521	8.6771	9.42978	0.243214	0.136832	0.0016715	0.205194	0.00212453	0.0185932	0.0138052	2.51627	4.09541
0.0261234	1309.84	22.6112	70.0908	22.1749	51.5877	96.8511	48.2274	51.8886	30.118	66.2655	51.0766	92.7205	55.9571	0.201343	0.0056332	0.0630929	0.850728	0.0155298	0.00166597	0.0490784	0.97232	0.249548	0.0949738	0.00312962	0.0100623	0.00126987	7.44053	4.99859	9.62275	9.82471	5.81689	1.67746	9.14826	1.32413	8.99685	1.76917	5.18322	1.69492	2.41902	9.96068	0.0211104	0.00109092	0.00241202	0.512543	0.263277	0.00127489	0.854442	690.166	124.581
